# CoCo3 OS-9 AGI IMAGE MANIFEST -- harness/tools/game_manifest.py --os9
# ★ MANIFEST ONLY. No game data is in this repository and none ever may be (§2P).
# ONE ROW PER IMAGE, not per title: the media variants are different builds.
# agi_bytes counts AGI resources ONLY -- Sierra's interpreter (CMDS/Sierra, MnLn,
# Scrn, Shdw, TOCGen) and the OS-9 host (OS9Boot, MODULES/, shell utilities) are
# CODE our port replaces, and are reported separately.
# stride 512 = DrivePak container (one 256-byte OS-9 sector per 512-byte block).
#
image	sha256	image_bytes	stride	sectors	volume	dd_fmt	version	files	agi_files	agi_bytes	vols	interp_bytes	host_bytes
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/lsl-2.dsk	d21f5c8dd9bec2dfa292bad706b6764872c4c80019a0fa7ba558a5880d55af4a	368640	256	1440	Leisure Suit Larry 1 Disk 2	0x03	none	4	4	147462	3	0	0
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Original/LARRY1.DSK	4b3838c32ce9db5641b16dea685b11c7a0b1c088f55c5cfb9b44f9dec520ee6e	184320	256	720	LL1disk1	0x02	v2	24	8	58640	2	37016	30833
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Original/LARRY2.DSK	844b0a6d39ad140f48aa1cef993b68ec567824d31ae9b4cd1122b59d7347e44a	161280	256	630	LL1disk2	0x02	none	4	4	153665	3	0	0
Leisure Suit Larry (Sierra On-Line) (OS-9) (Coco 3)/Original/LARRY3.DSK	4a6950f39481c4ae56836812f6d60905cca71920d1dbdcd3886279d8b497ea03	161280	256	630	LL1disk3	0x02	none	4	4	147462	3	0	0
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Coco SDC/pq1.dsk	fc8b5179bf6b454708ce05a23dd52dc080ac6d5f4fecbfd51b9ff6604a730bef	1474560	256	5760	Police Quest 1	0x02	v2	29	10	702192	4	37162	41647
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/DrivePak/pq1-drivepak.par	b3c3c5534e895946c9bdfe8c2aec7b18a30889061b5292776bbdd66216814244	2949120	512	5760	Police Quest 1	0x02	v2	27	10	702192	4	37162	38564
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/pq1-becker.dsk	27aaf2b2cd35a816b4b832184e152a9e9b3a032696449f4a09cfa668ca694e1a	802816	256	3136	Police Quest 1	0x02	v2	28	10	702192	4	37162	42238
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Drivewire/pq1-dw.dsk	995987be45dd8a299982c3a5adb0dc5835761e30b26855646ed919096f80dabf	802304	256	3134	Police Quest 1	0x02	v2	28	10	702192	4	37162	41834
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/pq1-1.dsk	d232eb62e95ac0e8834db9cb5e2c7a8cfa67242c1899eacd237bf49e9f54fb4d	368640	256	1440	Police Quest 1 Disk 1	0x03	v2	18	8	266788	2	37162	31846
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/pq1-2.dsk	fa4ddb999867b1439be7e34ede2ce5903cf556363a3fbee3f64efa0251def19a	368640	256	1440	Police Quest 1 Disk 2	0x03	none	3	3	253312	2	0	0
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Floppy 360K/pq1-3.dsk	175a4312c47916b8cbbd95bc552123f489e885bc4db62ae6198c1d27db3b44f4	368640	256	1440	Police Quest 1 Disk 3	0x03	none	3	3	311554	2	0	0
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Savegames/pq1-sg1.dsk	e2742fc8725bd16faf5d925cb6c95437478158481df43cb7dfe014d2ef457ea0	184320	256	720		0x00	none	12	0	0	0	0	0
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Savegames/pq1-sg2.dsk	44b59dbc168c6545546238935f9fd086777d072d76fec12a132daa7140a42999	184320	256	720		0x00	none	12	0	0	0	0	0
Police Quest 1 (Sierra On-Line) (OS-9) (Coco 3)/Savegames/pq1-sg3.dsk	8b26c8d15d1f1c8af2ecf7c55b93a21ab9dcae9ddf80da7ed256865d5e330a48	184320	256	720		0x00	none	3	0	0	0	0	0
