# THREE-AXIS CORPUS CLASSIFICATION (AD-28) -- harness/tools/classify_corpus.py
# * MANIFEST ONLY. No game data here and none ever (§2P).
# dir_format / vol_format / interp_version are INDEPENDENT AXES. Each has a *_method
# saying HOW it was established. An EMPTY value was NOT ESTABLISHED -- never guessed.
# interp_version is populated ONLY from an oracle md5+size match (L-26): a version from
# the oracle's table and one inferred from file shape are different claims.
# Detection hash = md5 of the FIRST 5000 BYTES of the detection file, size enforced where
# the table gives one (advancedDetector.cpp:974 and :818, read not assumed -- L-25).
#
population	row	dir_format	dir_method	vol_format	vol_method	interp_version	interp_method	detect_file	detect_md5	detect_bytes	scummvm_id	scummvm_extra	scummvm_platform	match_note	scummvm_comment
fan	discon	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	dc5a2b21182ba38bdcd992a3a978e690	300	agi-fanmade	Disco Nights (Demo)	DOS	ok	
fan	dogsq	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	f197357edaaea0ff70880602d2f09b3e	300	agi-fanmade	Dogs Quest - The Quest for the Golden Bone (v1.0)	DOS	ok	
fan	drjumm	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	988bd81785f8a452440a2a8ac67f96aa	300	agi-fanmade	Dr. Jummybummy's Space Adventure	DOS	ok	
fan	dsh256	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	c68052bb209e23b39b55ff3d759958e6	300	agi-fanmade	Dashiki (256 Colors)	DOS	ok	
fan	edesrt	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	dfdc634d340854bd6ece28024010758d	300	agi-fanmade	Escape from the Desert (beta 1)	DOS	ok	
fan	edward	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	98be839b9f30cbedea4c9cee5442d827	300	agi-fanmade	Ed Ward	DOS	ok	
fan	elfint	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	c3b847e9e9e978af9708df76a0751dc2	300	agi-fanmade	Elfintard	DOS	ok	
fan	enclos	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	f08e66fee9ecdde77db7ee9a10c96ba2	330	agi-fanmade	Enclosure (v1.01)	DOS	ok	
fan	epicft	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	aff24a1b3bdd676187685c4d95ba4294	768	agi-fanmade	Epic Fighting (v0.1)	DOS	ok	
fan	esales	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	e723ca4fe0f6f56affe039fbb4dbeb6c	300	agi-fanmade	Escape from the Salesman	DOS	ok	
fan	escape	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	2346b65619b1da0298b715b06d1a45a1	300	agi-fanmade	Escape Quest (v0.0.3)	DOS	ok	
fan	flagq	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	ca062c27e6f932661cc06ed986663861	69	agi-fanmade	Flag Quest	DOS	ok	
fan	goodmn	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	3facd8a8f856b7b6e0f6c3200274d88c	759	agi-fanmade	Good Man (demo v3.41)	DOS	ok	
fan	gourdb	v2	four separate DIR files present	V2	V3 walk hit a bad signature		UNMATCHED -- not established	logdir	5fe4b1fdcccd6b6a7c87d852a67c7f1e	768				no md5 match	
fan	goutsq	v2	four separate DIR files present	V2	V3 walk hit a bad signature		UNMATCHED -- not established	logdir	aaea5b4a348acb669d13b0e6f22d4dc9	300				no md5 match	
fan	gowest	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	ff31484ea465441cb5f3a0f8e956b716	300	agi-fanmade	Go West, Young Hippie	DOS	ok	
fan	grdead	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	c2146631afacf8cb455ce24f3d2d46e7	609	agi-fanmade	The Grateful Dead	DOS	ok	
fan	groza	v2	four separate DIR files present	V2	V3 walk hit a bad signature		UNMATCHED -- not established	logdir	421da3a18004122a966d64ab6bd86d2e	339				no md5 match	
fan	gtamp1	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	bfa5fe71978e6ccf3d4eedd430124015	768	agi-fanmade	Gennadi Tahab Autot - Mission Pack 1 - Kuressaare	DOS	ok	
fan	hangmn	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	d69c0e9050ccc29fd662b74d9fc73a15	300	agi-fanmade	New AGI Hangman Test	DOS	ok	FIXME: Actually Naturette 4 has both English and French language support built into it. How to add that information?
fan	hankqe	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	7a776383282f62a57c3a960dafca62d1	300	agi-fanmade	Hank's Quest (v1.81 English) - Victim of Society	DOS	ok	
fan	harrys	v2	four separate DIR files present	V2	V3 walk hit a bad signature	0x2917	oracle md5+size match; version FANMADE macro default	logdir	8d06d82970f2c591d880a95476efbcf0	306	agi-fanmade	The Legendary Harry Soupsmith (Demo 1998 Aug 19)	DOS	ok	
